CCT,c_nombre,ASESOR,sostenimiento_c_subcontrol,tiponivelsub_c_servicion3
31DES0007C,ANTONIO MEDIZ BOLIO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0012G,ESCUELA SECUNDARIA TECNICA NUM. 12,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DES2015Z,ANDRES JOSE GARCIA LAVIN,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0113L,MANUEL ALCALA MARTIN,ALICIA,ESTATAL,GENERAL
31EES0035Y,EMILIANO ZAPATA,ALICIA,ESTATAL,GENERAL
31EES0103E,WILBERTO CANTON MOLLER,ALICIA,ESTATAL,GENERAL
31DST0004Y,ESCUELA SECUNDARIA TECNICA NUM. 4,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DES0003G,JESUS REYES HEROLES,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0024Y,MIGUEL HIDALGO Y COSTILLA,CARLOS,ESTATAL,TELESECUNDARIA
31DES2019V,ELADIO NOVELO GIL,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0046D,JACINTO CANEK,ALICIA,ESTATAL,GENERAL
31EES0002G,RAMON GONZALEZ JIMENEZ,ALICIA,ESTATAL,GENERAL
31EES0063U,MANUEL JESUS CERVERA CAPISTRAN,ALICIA,ESTATAL,GENERAL
31DST0046X,ESCUELA SECUNDARIA TECNICA NUM. 46,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DES0021W,JUAN DE DIOS RODRIGUEZ HEREDIA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0009T,ESCUELA SECUNDARIA TECNICA NUM. 9,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0152T,TELESECUNDARIA NUM. 152,CARLOS,ESTATAL,TELESECUNDARIA
31EES0030C,JUAN PACHECO TORRES,ALICIA,ESTATAL,GENERAL
31ETV0104J,ROMULO ROZO,CARLOS,ESTATAL,TELESECUNDARIA
31EES0061W,ANDRES QUINTANA ROO,ALICIA,ESTATAL,GENERAL
31ETV0037B,JUAN ESCUTIA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0004K,VENUSTIANO CARRANZA,CARLOS,ESTATAL,TELESECUNDARIA
31DES2018W,LAZARO CARDENAS DEL RIO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0142M,PLAN DE AYALA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0106H,AQUILES SERDAN,CARLOS,ESTATAL,TELESECUNDARIA
31DST0056D,ESCUELA SECUNDARIA TECNICA NUM. 56,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0042N,ANDRES QUINTANA ROO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0036C,PONCIANO ARRIAGA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0033F,MARGARITA MAZA DE JUAREZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0119L,TELESECUNDARIA NUM. 119,CARLOS,ESTATAL,TELESECUNDARIA
31DST0014E,ESCUELA SECUNDARIA TECNICA NUM. 14,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0115P,GILBERTO HAU OSALDE,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0075E,FRANCISCO I. MADERO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0162Z,VICENTE SUAREZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0049G,GONZALO GUERRERO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0103K,ALFREDO BARRERA MARIN,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0069U,JUAN CANO Y CANO,CARLOS,ESTATAL,TELESECUNDARIA
31DST2026X,ESCUELA SECUNDARIA TECNICA NUM. 80,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DES2028C,HUMBERTO ESQUIVEL MEDINA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0011H,ESCUELA SECUNDARIA TECNICA NUM. 11,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DES0017J,ADOLFO LOPEZ MATEOS,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0085F,ANTONIO BETANCOURT PEREZ,ALICIA,ESTATAL,GENERAL
31ETV0127U,JOSE INES NOVELO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0139Z,ALFONSO HERRERA CRUZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0172G,ESCUELA TELESECUNDARIA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0027V,GABRIELA MISTRAL,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0057P,NETZAHUALCOYOTL,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0121Z,ALFONSO VILLA ROJAS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0164Y,AGUSTIN VADILLO CICERO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0145J,VICENTE RIVA PALACIO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0107G,NACHI COCOM,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0157O,FERNANDO ESPEJO MENDEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0170I,JOSE DIAZ BOLIO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0079A,LAS AMERICAS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0041O,DELIO MORENO CANTON,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0081P,FEDERICO PASSLER,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0088I,RAFAEL RAMIREZ CASTAÑEDA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0093U,CONSUELO ZAVALA CASTILLO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0149F,MAYAPAN,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0034E,LUIS ALVAREZ BARRET,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0082O,TOMAS AZNAR BARBACHANO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0108F,MELCHOR OCAMPO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0109E,ALFONSO REYES,CARLOS,ESTATAL,TELESECUNDARIA
